1.000032,0.00147
0.999049,0.001653
0.996104,0.0022
0.991208,0.003107
0.98438,0.004363
0.975648,0.005955
0.965045,0.007869
0.952613,0.010086
0.938401,0.012585
0.922465,0.015344
0.904867,0.018338
0.885676,0.021543
0.864969,0.024932
0.842826,0.028478
0.819334,0.032154
0.794586,0.035933
0.768679,0.039786
0.741715,0.043685
0.713801,0.0476
0.685046,0.0515
0.655562,0.055355
0.625468,0.059133
0.594879,0.0628
0.563918,0.066322
0.532705,0.069664
0.501364,0.072791
0.470017,0.075665
0.438787,0.078251
0.407798,0.080515
0.377171,0.082422
0.347026,0.083941
0.317482,0.085043
0.288655,0.085703
0.260659,0.0859
0.233603,0.085619
0.207594,0.084849
0.1825,0.083564
0.158112,0.081603
0.134686,0.078792
0.112489,0.075036
0.091779,0.070312
0.072795,0.064674
0.055748,0.058241
0.040805,0.051179
0.02809,0.043687
0.017678,0.035973
0.0096,0.028236
0.003847,0.020654
0.000378,0.013366
-0.000875,0.006465
0,0
0.002848,-0.005867
0.007507,-0.01101
0.013865,-0.0155
0.021817,-0.019428
0.031265,-0.022898
0.042133,-0.026016
0.054368,-0.028887
0.067945,-0.031605
0.082877,-0.034249
0.099204,-0.036879
0.116998,-0.039531
0.136345,-0.042209
0.157341,-0.044879
0.180076,-0.047454
0.204621,-0.049785
0.23057,-0.051702
0.257587,-0.053178
0.285565,-0.054216
0.314393,-0.054829
0.343957,-0.055033
0.374139,-0.054846
0.404821,-0.054293
0.43588,-0.0534
0.467193,-0.052194
0.498636,-0.050707
0.530085,-0.048967
0.561415,-0.047006
0.592502,-0.044854
0.623222,-0.042541
0.653455,-0.040096
0.683079,-0.037546
0.711978,-0.034919
0.740038,-0.03224
0.767148,-0.029536
0.7932,-0.02683
0.81809,-0.024147
0.841722,-0.021512
0.864,-0.018946
0.884837,-0.016475
0.90415,-0.014121
0.921863,-0.011906
0.937906,-0.009854
0.952214,-0.007984
0.964732,-0.006319
0.975409,-0.004874
0.984203,-0.003669
0.991079,-0.002716
0.996011,-0.002026
0.998977,-0.001609
0.999968,-0.00147